statement,date,target
Suggests ivermectin is an effective treatment for COVID-19,"April 13, 2022",false
Gilbert Gottfried died from the COVID-19 vaccine.,"April 13, 2022",false
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,"April 8, 2022",false
Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,"April 5, 2022",false
Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,"March 29, 2022",false
"""Documents were published confirming Moderna created the COVID-19 Virus.”","March 24, 2022",false
A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,"March 24, 2022",false
Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,"March 23, 2022",false
"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.","March 23, 2022",false
"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""","March 11, 2022",false
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,"March 7, 2022",false
CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,"March 7, 2022",false
Wearing masks is “COVID theater” and “not doing anything.”,"March 4, 2022",false
"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”","March 1, 2022",false
“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,"February 24, 2022",false
The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,"February 23, 2022",false
Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,"February 21, 2022",false
“Airline CEO gets pied for forcing vaccinations”,"February 17, 2022",false
"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”","February 17, 2022",false
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”","February 16, 2022",false
"""According to Congress, travel nurses need a pay cap.”","February 16, 2022",false
"""Study proves children’s hearts destroyed by COVID vaccine.""","February 15, 2022",false
"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""","February 15, 2022",false
The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,"February 15, 2022",false
COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,"February 11, 2022",false
"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.","February 11, 2022",false
“We all know China created COVID.”,"February 11, 2022",false
Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,"February 11, 2022",false
"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”","February 11, 2022",false
Says remdesivir is responsible for killing patients hospitalized with COVID-19.,"February 10, 2022",false
Suggests ivermectin is an effective treatment for COVID-19,"April 13, 2022",false
Gilbert Gottfried died from the COVID-19 vaccine.,"April 13, 2022",false
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,"April 8, 2022",false
Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,"April 5, 2022",false
Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,"March 29, 2022",false
"""Documents were published confirming Moderna created the COVID-19 Virus.”","March 24, 2022",false
A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,"March 24, 2022",false
Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,"March 23, 2022",false
"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.","March 23, 2022",false
"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""","March 11, 2022",false
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,"March 7, 2022",false
CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,"March 7, 2022",false
Wearing masks is “COVID theater” and “not doing anything.”,"March 4, 2022",false
"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”","March 1, 2022",false
“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,"February 24, 2022",false
The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,"February 23, 2022",false
Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,"February 21, 2022",false
“Airline CEO gets pied for forcing vaccinations”,"February 17, 2022",false
"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”","February 17, 2022",false
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”","February 16, 2022",false
"""According to Congress, travel nurses need a pay cap.”","February 16, 2022",false
"""Study proves children’s hearts destroyed by COVID vaccine.""","February 15, 2022",false
"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""","February 15, 2022",false
The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,"February 15, 2022",false
COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,"February 11, 2022",false
"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.","February 11, 2022",false
“We all know China created COVID.”,"February 11, 2022",false
Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,"February 11, 2022",false
"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”","February 11, 2022",false
Says remdesivir is responsible for killing patients hospitalized with COVID-19.,"February 10, 2022",false
"Says C.S. Lewis wrote, “They believed blindly everything they heard or read in the papers. They gave up their freedoms.”","February 10, 2022",false
Comedian Heather McDonald collapsed on stage as a result of the COVID-19 vaccine.,"February 9, 2022",false
“Fifty percent of the Ottawa police force have all turned in their resignation.”,"February 8, 2022",false
The federal government requires “COVID passports to visit the movies.”,"February 8, 2022",false
Joe Biden gave his used face mask to Stephen Breyer.,"February 8, 2022",false
"Turkey, Brazil, Britain, Sweden, Spain, Czech Republic, Mexico, El Salvador, Japan and Singapore canceled all COVID-19 quarantine procedures, testing and compulsory vaccination and are considering COVID-19 “just a seasonal flu.”","February 7, 2022",false
"“Few, If Any, Doses of Spikevax or Comirnaty Available in United States, Despite FDA Approvals”","February 4, 2022",false
"Says Johns Hopkins virologist ""James Kelly"" said the COVID-19 vaccine “discriminates, divides, and judges society as it is.”","February 3, 2022",false
Research from Japan shows “ivermectin is effective against omicron in Phase III trial.”,"February 2, 2022",false
‘The Simpsons’ predicted Canada’s trucker convoy protest.,"February 2, 2022",false
“The convoy in Canada has made the Guinness Book of World Records for the longest convoy.”,"February 2, 2022",false
Picture shows the “Freedom Convoy” trucks in Canada.,"February 2, 2022",false
"""British data show the COVID shots are an abysmal failure, as COVID infection rates in the U.K. are higher among the ‘fully vaccinated’ in all adult cohorts.”","February 1, 2022",false
Says Jen Psaki said in January 2022 that people will start seeing direct deposits in their bank account this weekend and payments to eligible Americans will continue for several weeks.,"February 1, 2022",false
The CDC staged “the ‘escaping monkeys’ as a cover story for releasing the next bioweapon.”,"January 31, 2022",false
"Military data from 2021 show military members experienced spikes of 300% in miscarriages, almost 300% in cancer diagnoses and 1,000% in neurological issues.","January 31, 2022",false
Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,"January 31, 2022",false
"Vaccine makers “are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.”","January 31, 2022",false
"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative.","January 28, 2022",false
“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,"January 28, 2022",false
"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.""","January 26, 2022",false
"COVID-19-induced pneumonia is ""is actually mast cell degranulation of the lungs,"" a type of allergic reaction.","January 25, 2022",false
President Joe Biden gave Congress an exemption from vaccine mandate,"January 25, 2022",false
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,"January 25, 2022",false
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.","January 24, 2022",false
The CDC said that 75% of COVID-19 deaths have involved people with at least four comorbidities.,"January 24, 2022",false
Four players have dropped out of the Australian Open with “chest pains.”,"January 21, 2022",false
Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,"January 20, 2022",false
“If you stop testing (for COVID-19) it all goes away and people just have colds like before.”,"January 19, 2022",false
"""Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.""","• January 19,",false
Suggests ivermectin is an effective treatment for COVID-19,"April 13, 2022",false
Gilbert Gottfried died from the COVID-19 vaccine.,"April 13, 2022",false
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,"April 8, 2022",false
Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,"April 5, 2022",false
Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,"March 29, 2022",false
"""Documents were published confirming Moderna created the COVID-19 Virus.”","March 24, 2022",false
A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,"March 24, 2022",false
Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,"March 23, 2022",false
"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.","March 23, 2022",false
"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""","March 11, 2022",false
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,"March 7, 2022",false
CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,"March 7, 2022",false
Wearing masks is “COVID theater” and “not doing anything.”,"March 4, 2022",false
"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”","March 1, 2022",false
“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,"February 24, 2022",false
The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,"February 23, 2022",false
Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,"February 21, 2022",false
“Airline CEO gets pied for forcing vaccinations”,"February 17, 2022",false
"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”","February 17, 2022",false
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”","February 16, 2022",false
"""According to Congress, travel nurses need a pay cap.”","February 16, 2022",false
"""Study proves children’s hearts destroyed by COVID vaccine.""","February 15, 2022",false
"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""","February 15, 2022",false
The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,"February 15, 2022",false
COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,"February 11, 2022",false
"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.","February 11, 2022",false
“We all know China created COVID.”,"February 11, 2022",false
Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,"February 11, 2022",false
"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”","February 11, 2022",false
Says remdesivir is responsible for killing patients hospitalized with COVID-19.,"February 10, 2022",false
"Says C.S. Lewis wrote, “They believed blindly everything they heard or read in the papers. They gave up their freedoms.”","February 10, 2022",false
Comedian Heather McDonald collapsed on stage as a result of the COVID-19 vaccine.,"February 9, 2022",false
“Fifty percent of the Ottawa police force have all turned in their resignation.”,"February 8, 2022",false
The federal government requires “COVID passports to visit the movies.”,"February 8, 2022",false
Joe Biden gave his used face mask to Stephen Breyer.,"February 8, 2022",false
"Turkey, Brazil, Britain, Sweden, Spain, Czech Republic, Mexico, El Salvador, Japan and Singapore canceled all COVID-19 quarantine procedures, testing and compulsory vaccination and are considering COVID-19 “just a seasonal flu.”","February 7, 2022",false
"“Few, If Any, Doses of Spikevax or Comirnaty Available in United States, Despite FDA Approvals”","February 4, 2022",false
"Says Johns Hopkins virologist ""James Kelly"" said the COVID-19 vaccine “discriminates, divides, and judges society as it is.”","February 3, 2022",false
Research from Japan shows “ivermectin is effective against omicron in Phase III trial.”,"February 2, 2022",false
‘The Simpsons’ predicted Canada’s trucker convoy protest.,"February 2, 2022",false
“The convoy in Canada has made the Guinness Book of World Records for the longest convoy.”,"February 2, 2022",false
Picture shows the “Freedom Convoy” trucks in Canada.,"February 2, 2022",false
"""British data show the COVID shots are an abysmal failure, as COVID infection rates in the U.K. are higher among the ‘fully vaccinated’ in all adult cohorts.”","February 1, 2022",false
Says Jen Psaki said in January 2022 that people will start seeing direct deposits in their bank account this weekend and payments to eligible Americans will continue for several weeks.,"February 1, 2022",false
The CDC staged “the ‘escaping monkeys’ as a cover story for releasing the next bioweapon.”,"January 31, 2022",false
"Military data from 2021 show military members experienced spikes of 300% in miscarriages, almost 300% in cancer diagnoses and 1,000% in neurological issues.","January 31, 2022",false
Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,"January 31, 2022",false
"Vaccine makers “are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.”","January 31, 2022",false
"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative.","January 28, 2022",false
“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,"January 28, 2022",false
"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.""","January 26, 2022",false
"COVID-19-induced pneumonia is ""is actually mast cell degranulation of the lungs,"" a type of allergic reaction.","January 25, 2022",false
President Joe Biden gave Congress an exemption from vaccine mandate,"January 25, 2022",false
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,"January 25, 2022",false
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.","January 24, 2022",false
The CDC said that 75% of COVID-19 deaths have involved people with at least four comorbidities.,"January 24, 2022",false
Four players have dropped out of the Australian Open with “chest pains.”,"January 21, 2022",false
Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,"January 20, 2022",false
“If you stop testing (for COVID-19) it all goes away and people just have colds like before.”,"January 19, 2022",false
"""Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.""","• January 19,",false
Suggests ivermectin is an effective treatment for COVID-19,"April 13, 2022",false
Gilbert Gottfried died from the COVID-19 vaccine.,"April 13, 2022",false
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,"April 8, 2022",false
Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,"April 5, 2022",false
Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,"March 29, 2022",false
"""Documents were published confirming Moderna created the COVID-19 Virus.”","March 24, 2022",false
A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,"March 24, 2022",false
Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,"March 23, 2022",false
"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.","March 23, 2022",false
"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""","March 11, 2022",false
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,"March 7, 2022",false
CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,"March 7, 2022",false
Wearing masks is “COVID theater” and “not doing anything.”,"March 4, 2022",false
"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”","March 1, 2022",false
“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,"February 24, 2022",false
The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,"February 23, 2022",false
Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,"February 21, 2022",false
“Airline CEO gets pied for forcing vaccinations”,"February 17, 2022",false
"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”","February 17, 2022",false
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”","February 16, 2022",false
"""According to Congress, travel nurses need a pay cap.”","February 16, 2022",false
"""Study proves children’s hearts destroyed by COVID vaccine.""","February 15, 2022",false
"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""","February 15, 2022",false
The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,"February 15, 2022",false
COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,"February 11, 2022",false
"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.","February 11, 2022",false
“We all know China created COVID.”,"February 11, 2022",false
Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,"February 11, 2022",false
"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”","February 11, 2022",false
Says remdesivir is responsible for killing patients hospitalized with COVID-19.,"February 10, 2022",false
"Says C.S. Lewis wrote, “They believed blindly everything they heard or read in the papers. They gave up their freedoms.”","February 10, 2022",false
Comedian Heather McDonald collapsed on stage as a result of the COVID-19 vaccine.,"February 9, 2022",false
“Fifty percent of the Ottawa police force have all turned in their resignation.”,"February 8, 2022",false
The federal government requires “COVID passports to visit the movies.”,"February 8, 2022",false
Joe Biden gave his used face mask to Stephen Breyer.,"February 8, 2022",false
"Turkey, Brazil, Britain, Sweden, Spain, Czech Republic, Mexico, El Salvador, Japan and Singapore canceled all COVID-19 quarantine procedures, testing and compulsory vaccination and are considering COVID-19 “just a seasonal flu.”","February 7, 2022",false
"“Few, If Any, Doses of Spikevax or Comirnaty Available in United States, Despite FDA Approvals”","February 4, 2022",false
"Says Johns Hopkins virologist ""James Kelly"" said the COVID-19 vaccine “discriminates, divides, and judges society as it is.”","February 3, 2022",false
Research from Japan shows “ivermectin is effective against omicron in Phase III trial.”,"February 2, 2022",false
‘The Simpsons’ predicted Canada’s trucker convoy protest.,"February 2, 2022",false
“The convoy in Canada has made the Guinness Book of World Records for the longest convoy.”,"February 2, 2022",false
Picture shows the “Freedom Convoy” trucks in Canada.,"February 2, 2022",false
"""British data show the COVID shots are an abysmal failure, as COVID infection rates in the U.K. are higher among the ‘fully vaccinated’ in all adult cohorts.”","February 1, 2022",false
Says Jen Psaki said in January 2022 that people will start seeing direct deposits in their bank account this weekend and payments to eligible Americans will continue for several weeks.,"February 1, 2022",false
The CDC staged “the ‘escaping monkeys’ as a cover story for releasing the next bioweapon.”,"January 31, 2022",false
"Military data from 2021 show military members experienced spikes of 300% in miscarriages, almost 300% in cancer diagnoses and 1,000% in neurological issues.","January 31, 2022",false
Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,"January 31, 2022",false
"Vaccine makers “are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.”","January 31, 2022",false
"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative.","January 28, 2022",false
“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,"January 28, 2022",false
"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.""","January 26, 2022",false
"COVID-19-induced pneumonia is ""is actually mast cell degranulation of the lungs,"" a type of allergic reaction.","January 25, 2022",false
President Joe Biden gave Congress an exemption from vaccine mandate,"January 25, 2022",false
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,"January 25, 2022",false
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.","January 24, 2022",false
The CDC said that 75% of COVID-19 deaths have involved people with at least four comorbidities.,"January 24, 2022",false
Four players have dropped out of the Australian Open with “chest pains.”,"January 21, 2022",false
Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,"January 20, 2022",false
“If you stop testing (for COVID-19) it all goes away and people just have colds like before.”,"January 19, 2022",false
"""Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.""","• January 19,",false
Suggests ivermectin is an effective treatment for COVID-19,"April 13, 2022",false
Gilbert Gottfried died from the COVID-19 vaccine.,"April 13, 2022",false
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,"April 8, 2022",false
Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,"April 5, 2022",false
Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,"March 29, 2022",false
"""Documents were published confirming Moderna created the COVID-19 Virus.”","March 24, 2022",false
A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,"March 24, 2022",false
Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,"March 23, 2022",false
"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.","March 23, 2022",false
"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""","March 11, 2022",false
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,"March 7, 2022",false
CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,"March 7, 2022",false
Wearing masks is “COVID theater” and “not doing anything.”,"March 4, 2022",false
"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”","March 1, 2022",false
“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,"February 24, 2022",false
The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,"February 23, 2022",false
Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,"February 21, 2022",false
“Airline CEO gets pied for forcing vaccinations”,"February 17, 2022",false
"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”","February 17, 2022",false
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”","February 16, 2022",false
"""According to Congress, travel nurses need a pay cap.”","February 16, 2022",false
"""Study proves children’s hearts destroyed by COVID vaccine.""","February 15, 2022",false
"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""","February 15, 2022",false
The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,"February 15, 2022",false
COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,"February 11, 2022",false
"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.","February 11, 2022",false
“We all know China created COVID.”,"February 11, 2022",false
Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,"February 11, 2022",false
"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”","February 11, 2022",false
Says remdesivir is responsible for killing patients hospitalized with COVID-19.,"February 10, 2022",false
"Says C.S. Lewis wrote, “They believed blindly everything they heard or read in the papers. They gave up their freedoms.”","February 10, 2022",false
Comedian Heather McDonald collapsed on stage as a result of the COVID-19 vaccine.,"February 9, 2022",false
“Fifty percent of the Ottawa police force have all turned in their resignation.”,"February 8, 2022",false
The federal government requires “COVID passports to visit the movies.”,"February 8, 2022",false
Joe Biden gave his used face mask to Stephen Breyer.,"February 8, 2022",false
"Turkey, Brazil, Britain, Sweden, Spain, Czech Republic, Mexico, El Salvador, Japan and Singapore canceled all COVID-19 quarantine procedures, testing and compulsory vaccination and are considering COVID-19 “just a seasonal flu.”","February 7, 2022",false
"“Few, If Any, Doses of Spikevax or Comirnaty Available in United States, Despite FDA Approvals”","February 4, 2022",false
"Says Johns Hopkins virologist ""James Kelly"" said the COVID-19 vaccine “discriminates, divides, and judges society as it is.”","February 3, 2022",false
Research from Japan shows “ivermectin is effective against omicron in Phase III trial.”,"February 2, 2022",false
‘The Simpsons’ predicted Canada’s trucker convoy protest.,"February 2, 2022",false
“The convoy in Canada has made the Guinness Book of World Records for the longest convoy.”,"February 2, 2022",false
Picture shows the “Freedom Convoy” trucks in Canada.,"February 2, 2022",false
"""British data show the COVID shots are an abysmal failure, as COVID infection rates in the U.K. are higher among the ‘fully vaccinated’ in all adult cohorts.”","February 1, 2022",false
Says Jen Psaki said in January 2022 that people will start seeing direct deposits in their bank account this weekend and payments to eligible Americans will continue for several weeks.,"February 1, 2022",false
The CDC staged “the ‘escaping monkeys’ as a cover story for releasing the next bioweapon.”,"January 31, 2022",false
"Military data from 2021 show military members experienced spikes of 300% in miscarriages, almost 300% in cancer diagnoses and 1,000% in neurological issues.","January 31, 2022",false
Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,"January 31, 2022",false
"Vaccine makers “are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.”","January 31, 2022",false
"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative.","January 28, 2022",false
“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,"January 28, 2022",false
"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.""","January 26, 2022",false
"COVID-19-induced pneumonia is ""is actually mast cell degranulation of the lungs,"" a type of allergic reaction.","January 25, 2022",false
President Joe Biden gave Congress an exemption from vaccine mandate,"January 25, 2022",false
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,"January 25, 2022",false
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.","January 24, 2022",false
The CDC said that 75% of COVID-19 deaths have involved people with at least four comorbidities.,"January 24, 2022",false
Four players have dropped out of the Australian Open with “chest pains.”,"January 21, 2022",false
Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,"January 20, 2022",false
“If you stop testing (for COVID-19) it all goes away and people just have colds like before.”,"January 19, 2022",false
"""Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.""","• January 19,",false
